Date,Platform,Post_ID,Content_Type,Likes,Shares,Comments,Impressions,Followers
6/24/2023,Twitter,Post_21,Carousel,82,230,226,18356,46608
8/27/2023,Instagram,Post_33,Video,759,124,105,25779,139448
04/11/2023,Instagram,Post_74,Video,872,481,53,75072,193951
5/13/2023,Instagram,Post_56,Image,884,366,99,37714,168918
10/13/2023,Facebook,Post_58,Carousel,572,258,247,31439,13152
6/30/2023,Twitter,Post_55,Video,271,280,273,23572,7103
2/28/2023,Instagram,Post_63,Image,395,392,9,83056,51652
5/24/2023,Twitter,Post_60,Text,530,434,152,73620,45493
03/08/2023,Instagram,Post_9,Video,4,23,280,61426,160214
6/20/2023,Twitter,Post_80,Video,206,352,156,74976,24061
06/02/2023,Twitter,Post_40,Image,79,331,294,55876,40715
8/17/2023,Twitter,Post_62,Video,584,429,294,70767,46608
12/28/2023,Instagram,Post_14,Image,451,211,126,57361,174070
04/04/2023,Twitter,Post_68,Image,949,452,102,59350,23048
11/12/2023,Facebook,Post_13,Image,812,302,253,55753,32342
04/09/2023,Twitter,Post_79,Video,402,414,8,96153,12980
9/20/2023,Instagram,Post_19,Image,47,121,89,8893,40242
3/23/2023,Facebook,Post_8,Text,745,352,122,62575,22616
1/30/2023,Instagram,Post_39,Text,236,331,0,86760,43280
02/12/2023,Twitter,Post_32,Image,166,258,251,55830,49378
7/28/2023,Instagram,Post_6,Image,888,103,38,25937,191639
10/31/2023,Instagram,Post_55,Carousel,451,185,8,88411,100623
6/14/2023,Twitter,Post_86,Text,392,80,67,70960,17791
09/04/2023,Instagram,Post_52,Carousel,134,125,47,78770,134169
02/12/2023,Instagram,Post_84,Text,282,46,206,13972,97902
10/18/2023,Instagram,Post_49,Image,609,13,156,41388,122856
07/03/2023,Twitter,Post_12,Carousel,851,293,33,78531,32341
02/09/2023,Instagram,Post_92,Video,456,14,37,63919,70414
7/23/2023,Facebook,Post_60,Image,285,312,106,50937,32393
7/18/2023,Facebook,Post_99,Text,495,107,292,3343,55529
1/24/2023,Facebook,Post_32,Text,304,223,198,49546,97639
10/11/2023,Facebook,Post_26,Text,629,461,61,57686,71980
12/12/2023,Twitter,Post_36,Text,103,239,28,62842,13954
07/07/2023,Facebook,Post_85,Image,413,421,41,16664,80131
11/08/2023,Instagram,Post_98,Carousel,920,348,37,55912,111761
10/15/2023,Twitter,Post_84,Carousel,702,117,170,56550,9244
5/17/2023,Instagram,Post_17,Text,844,33,43,97865,30239
06/07/2023,Facebook,Post_2,Video,190,78,94,56353,55245
03/05/2023,Instagram,Post_75,Image,551,422,162,87730,43218
03/04/2023,Twitter,Post_18,Video,928,314,232,1095,32627
10/17/2023,Facebook,Post_81,Text,188,43,185,65611,25324
12/13/2023,Twitter,Post_77,Text,937,470,192,94506,26066
12/14/2023,Twitter,Post_49,Text,162,47,255,23353,13266
3/19/2023,Twitter,Post_1,Text,722,454,259,12535,44201
9/24/2023,Facebook,Post_18,Video,166,357,175,22321,25214
8/21/2023,Twitter,Post_59,Text,607,390,242,27828,44849
01/12/2023,Instagram,Post_67,Image,73,431,208,65026,70893
12/23/2023,Instagram,Post_32,Video,495,135,256,97551,34707
7/29/2023,Instagram,Post_5,Video,584,207,54,13228,160173
10/19/2023,Instagram,Post_37,Text,964,148,296,71613,51315
09/03/2023,Twitter,Post_50,Text,762,10,201,90468,32797
11/01/2023,Facebook,Post_77,Text,679,359,203,41369,92348
05/10/2023,Twitter,Post_52,Video,279,395,200,22558,39329
08/12/2023,Twitter,Post_35,Image,299,370,190,95762,26256
3/26/2023,Twitter,Post_16,Carousel,26,269,204,48589,12837
10/19/2023,Facebook,Post_97,Carousel,310,476,87,65041,13319
07/08/2023,Facebook,Post_1,Carousel,261,234,124,37916,78580
6/21/2023,Twitter,Post_3,Carousel,768,3,7,27630,16082
09/05/2023,Facebook,Post_80,Text,653,335,296,88395,89869
8/25/2023,Facebook,Post_1,Video,640,452,229,86167,29388
02/03/2023,Twitter,Post_36,Image,50,352,101,82112,23694
06/11/2023,Facebook,Post_9,Video,161,397,135,3301,75794
1/15/2023,Twitter,Post_72,Text,895,15,142,89456,48615
2/15/2023,Facebook,Post_80,Carousel,354,391,1,63897,51861
06/01/2023,Twitter,Post_15,Video,912,54,29,75638,21126
